Timestamp         Commit    Act    Affil     Subject                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
────────────────  ────────  ─────  ────────  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
2026-05-05 13:16  331135bf  [W]    ₢A-AAu    Collapsed BURP from multi-instance to singleton-per-(station-user, viceroyalty). The investiture identifier survives but is now 1:1 with viceroyalty by construction: the BURP directory name MUST equal a registered viceroyalty (a directory under .buk/rbmn_nodes/), enforced by file-presence check at load time. BURP_VICEROYALTY field dropped from the regime schema. BUS0: retired {burp_viceroyalty} quoin, tightened {burp_investiture} definition to express the constraint, realigned [[burn_host_singularity]] premise body. BUSTPV: dropped orphan {burp_node} from field enumeration. BUK code: burp_regime.sh dropped the field plus the now-empty Node Reference group; bujb_cli.sh rekeyed the BURP→BURN file-presence check off ${BUZ_FOLIO}; diagnostic strings throughout bujb_cli.sh and bujb_jurisdiction.sh switched from ${BURP_VICEROYALTY} to ${BUZ_FOLIO}. Operator-facing .buk/rbmu_users/README.md dropped the field row and rewrote cross-reference prose; .buk/rbmn_nodes/README.md companion section symmetrically refreshed. Paddock four-field BURP description updated to three-field with the file-presence enforcement note. Verification: tree-wide grep for BURP_VICEROYALTY/burp_viceroyalty/burp_node across .md/.adoc/.sh/.rs (excluding history) is empty; investitur grep retains 96 references (vocabulary preserved); bash -n green; tt/buw-st green (5 fixtures, 28 cases); tt/rbtd-s.TestSuite.fast.sh 25/26 exact AAn baseline match (lone rv_rbrv_all_vessels failure pre-existing); tt/rbw-hw + tt/buw-hj0 render cleanly. Two notch commits on this coronet (Tools/+paddock first, then .buk/ READMEs after the scan-scope gap surfaced).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2026-05-05 13:15  c14568c2  [n]    ₢A-AAu    Follow-up: extend AAu to operator-facing READMEs missed by the docket's Tools/-tt/ scan scope. .buk/rbmu_users/README.md drops the BURP_VICEROYALTY field row from the Fields block (post-refactor field list is 3 fields), and the cross-reference sentence in the BURN companion section rewrites to express that the investiture name IS a viceroyalty name by construction (directory-name correspondence). The structure-section paragraph picks up the file-presence-enforcement statement so an operator authoring a fresh BURP profile from this README sees the constraint immediately. .buk/rbmn_nodes/README.md companion-section sentence rewrites symmetrically. Final tree-wide grep across .md/.adoc/.sh/.rs (excluding .git/, gallops.json, gazette_out.md, officia/, _archive/) is now empty for BURP_VICEROYALTY/burp_viceroyalty/burp_node.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2026-05-05 13:13  324e9c06  [n]    ₢A-AAu    Drop BURP_VICEROYALTY field; collapse BURP to singleton-per-(user, viceroyalty). Investiture name now constrained 1:1 to a registered viceroyalty by file-presence at .buk/rbmn_nodes/<investiture>/burn.env. BUS0: retire {burp_viceroyalty} quoin (attribute ref + definition), tighten {burp_investiture} definition to express the constraint, realign [[burn_host_singularity]] premise body. BUSTPV: drop orphan {burp_node} from field enumeration (post-refactor field list is 3 fields: BURP_PRIVILEGED_USER, BURP_PRIVILEGED_KEY_FILE, BURP_WORKLOAD_KEY_FILE). burp_regime.sh: drop BURP_VICEROYALTY xname enrollment plus the now-empty 'Node Reference' buv_group_enroll wrapper. bujb_cli.sh: rekey BURP→BURN file-presence check off ${BUZ_FOLIO} (the investiture name) — comment + error message updated; switch diagnostic strings (knock step/die, interactive session step) from ${BURP_VICEROYALTY} to ${BUZ_FOLIO}; drop the BURP_VICEROYALTY row from the resolved-fields diagnostic block. bujb_jurisdiction.sh: rewrite cross-reference comment to describe investiture-name===viceroyalty-name semantics enforced by file presence; switch fenestrate-hint die / garrison step / fenestrate step diagnostics from ${BURP_VICEROYALTY} to ${BUZ_FOLIO}. Paddock: BURP description from four fields to three, add file-presence enforcement note on the investiture identifier line. Verification: BURP_VICEROYALTY/burp_viceroyalty/burp_node grep across Tools/ tt/ empty; investitur grep retains 96 references (vocabulary preserved, refined); bash -n green on 3 edited shells; tt/buw-st green (5 fixtures, 28 cases); tt/rbtd-s.TestSuite.fast.sh 25/26 exact match with AAn baseline (lone rbtdrf_rv_rbrv_all_vessels failure pre-existing, unrelated); tt/rbw-hw and tt/buw-hj0 render cleanly with the constraint in effect.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2026-05-05 12:47  60f6cb05  [S]    ₣A-       collapse-investiture-into-viceroyalty                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2026-05-05 12:32  38788a76  [S]    ₣A-       practice-fenestrate-windows                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
