Package analysis summary:
      6 Simple Launcher 1.1.0.14
      3 @jupyterlab/application-top 4.2.5
      2 typing-extensions 4.12.2
      2 packaging 24.1
      1 zlib1g-dev 1:1.2.13.dfsg-1
      1 zlib1g 1:1.2.13.dfsg-1
      1 zipp 3.19.2
      1 xz-utils 5.4.1-0.2
      1 xtrans-dev 1.4.0-1
      1 xorg-sgml-doctools 1:1.11-1.1
      1 x11proto-dev 2022.1-1
      1 x11proto-core-dev 2022.1-1
      1 x11-common 1:7.7+23
      1 widgetsnbextension 4.0.13
      1 wheel 0.43.0
      1 wget 1.21.3-1+b2
      1 websocket-client 1.8.0
      1 webencodings 0.5.1
      1 webcolors 24.8.0
      1 wcwidth 0.2.13
